Date,USD,EUR,JPY,CNY,RUB
11/30/2023,"1 985,3","1 835,6","297 356,2","14 336,6","179 503,8"
12/29/2023,"2 029,3","1 863,7","292 875,3","14 494,4","184 600,5"
1/31/2024,"2 034,0","1 866,2","297 585,6","14 587,6","181 938,7"
2/29/2024,"2 023,2","1 874,9","302 744,5","14 554,6","185 657,1"
3/29/2024,"2 158,0","1 984,9","323 219,7","15 539,5","198 054,8"
4/30/2024,"2 335,5","2 178,3","359 556,8","16 903,8","217 364,0"
5/31/2024,"2 352,1","2 175,4","366 901,8","17 015,6","214 371,1"
6/28/2024,"2 326,3","2 161,7","367 235,3","16 876,2","204 532,6"
7/31/2024,"2 395,3","2 208,7","377 557,7","17 393,5","209 600,1"
8/30/2024,"2 468,0","2 241,0","361 226,1","17 645,8","220 265,6"
9/30/2024,"2 567,1","2 311,8","367 462,4","18 169,4","234 184,4"
10/31/2024,"2 690,1","2 469,7","403 346,1","19 070,6","259 249,9"
11/29/2024,"2 650,7","2 495,1","406 954,7","19 106,8","267 832,7"
12/31/2024,"2 644,1","2 521,8","405 102,8","19 244,4","275 097,8"
1/31/2025,"2 709,7","2 615,9","423 813,8","19 765,4","276 997,4"
2/28/2025,"2 894,7","2 778,6","438 622,9","21 073,0","267 025,9"
3/31/2025,"2 983,3","2 759,4","444 646,7","21 626,0","256 092,8"
4/30/2025,"3 207,5","2 862,2","463 175,4","23 405,6","267 893,1"
5/30/2025,"3 278,0","2 908,8","475 098,6","23 650,3","263 796,1"
