Date,ZNC=F,DX-Y.NYB,BZ=F
2025-06-20,2297.0,98.70999908447266,77.01000213623047
2025-06-23,2297.0,98.41999816894531,71.4800033569336
2025-06-24,2297.0,97.86000061035156,67.13999938964844
2025-06-25,2297.0,97.68000030517578,67.68000030517578
2025-06-26,2297.0,97.1500015258789,67.7300033569336
2025-06-27,2297.0,97.4000015258789,67.7699966430664
2025-06-30,2297.0,96.87999725341797,67.61000061035156
2025-07-01,2297.0,96.81999969482422,67.11000061035156
2025-07-02,2297.0,96.77999877929688,69.11000061035156
2025-07-03,2297.0,97.18000030517578,68.80000305175781
2025-07-04,,,68.29000091552734
2025-07-07,2297.0,97.4800033569336,69.58000183105469
2025-07-08,2297.0,97.51000213623047,70.1500015258789
2025-07-09,2297.0,97.47000122070312,70.19000244140625
2025-07-10,2297.0,97.6500015258789,68.63999938964844
2025-07-11,2297.0,97.8499984741211,70.36000061035156
2025-07-14,2297.0,98.08000183105469,69.20999908447266
2025-07-15,2297.0,98.62000274658203,68.70999908447266
2025-07-16,2297.0,98.38999938964844,68.5199966430664
2025-07-17,2297.0,98.7300033569336,69.5199966430664
2025-07-18,2297.0,98.46299743652344,69.27999877929688
