Price,Open,High,Low,Close,Volume
Ticker,Znc=F,Znc=F,Znc=F,Znc=F,Znc=F
DateTime,,,,,
2015-06-29 00:00,2077.0000,2077.0000,2039.0000,2072.0000,1
2015-06-30 00:00,2025.5000,2025.5000,2025.5000,2025.5000,0
2015-07-01 00:00,2070.0000,2070.0000,2070.0000,2070.0000,0
2015-07-02 00:00,2072.5000,2072.5000,2072.5000,2072.5000,2
2015-07-06 00:00,2026.0000,2035.0000,2026.0000,2035.0000,2
2015-07-07 00:00,1991.0000,1991.0000,1962.5000,1962.5000,1
2015-07-08 00:00,2007.5000,2007.5000,2007.5000,2007.5000,0
2015-07-09 00:00,2032.5000,2032.5000,2032.5000,2032.5000,0
2015-07-10 00:00,2019.5000,2035.0000,2019.5000,2035.0000,30
2015-07-13 00:00,2077.5000,2077.5000,2077.5000,2077.5000,0
2015-07-14 00:00,2080.0000,2080.0000,2080.0000,2080.0000,0
2015-07-15 00:00,2102.5000,2102.5000,2102.5000,2102.5000,0
2015-07-16 00:00,2096.0000,2096.0000,2095.5000,2095.5000,1
2015-07-17 00:00,2087.5000,2087.5000,2087.5000,2087.5000,0
2015-07-20 00:00,2066.0000,2075.0000,2066.0000,2075.0000,2
2015-07-21 00:00,2072.5000,2072.5000,2059.0000,2059.0000,1
2015-07-22 00:00,2026.0000,2026.0000,2026.0000,2026.0000,0
2015-07-23 00:00,2006.0000,2006.0000,2006.0000,2006.0000,0
2015-07-24 00:00,2000.0000,2000.0000,2000.0000,2000.0000,1
2015-07-27 00:00,1965.0000,1965.0000,1956.5000,1956.5000,3
2015-07-28 00:00,1980.5000,2000.0000,1980.5000,2000.0000,2
2015-07-29 00:00,1990.0000,1990.0000,1990.0000,1990.0000,0
2015-07-30 00:00,1972.5000,1972.5000,1972.5000,1972.5000,0
2015-07-31 00:00,1940.0000,1940.0000,1940.0000,1940.0000,0
2015-08-03 00:00,1921.0000,1921.0000,1921.0000,1921.0000,0
2015-08-04 00:00,1943.0000,1948.0000,1937.0000,1937.0000,47
2015-08-05 00:00,1915.5000,1915.5000,1915.5000,1915.5000,0
2015-08-06 00:00,1890.0000,1890.0000,1890.0000,1890.0000,0
2015-08-07 00:00,1881.0000,1881.0000,1881.0000,1881.0000,0
2015-08-10 00:00,1908.5000,1910.0000,1908.5000,1910.0000,2
2015-08-11 00:00,1830.0000,1830.0000,1830.0000,1830.0000,0
2015-08-12 00:00,1829.5000,1850.0000,1829.5000,1850.0000,20
2015-08-13 00:00,1850.0000,1850.0000,1850.0000,1850.0000,0
2015-08-14 00:00,1850.0000,1850.0000,1850.0000,1850.0000,0
